module,modinfo_name,path,subsystem,in_modules_load,source_built_override,n_versions,n_kmi_pure,n_kmi_extended,n_vendor_internal_resolved,n_vendor_internal_missing,n_crc_mismatch,module_layout_status,verdict,secondary_verdict,sample_failing
oplus_bsp_dynamic_readahead,oplus_bsp_dynamic_readahead,/home/jmulesa/android/lineage/device/oneplus/infiniti-kernel/oplus_bsp_dynamic_readahead.ko,misc,0,0,10,0,0,0,1,9,mismatch(e976b219!=21d0f8b0),load-fail-module-layout,load-fail-crc,contig_page_data=crc(c9965b9f!=69230943);__tracepoint_android_vh_tune_mmap_readaround=crc(7c5aa8a7!=05e5ef0b);tracepoint_probe_register=crc(15cb871d!=805e2dd2);__tracepoint_android_vh_ra_tuning_max_page=crc(7c5aa8a7!=ced78178);_printk=crc(16b5b21d!=92997ed8);tracepoint_probe_unregister=crc(15cb871d!=7aba1ef6);test_task_ux=missing;vm_zone_stat=crc(8de767db!=ba0676e2)
oplus_bsp_frame_boost,oplus_bsp_frame_boost,/home/jmulesa/android/lineage/device/oneplus/infiniti-kernel/oplus_bsp_frame_boost.ko,misc,0,0,101,0,0,0,5,96,mismatch(e976b219!=21d0f8b0),load-fail-module-layout,load-fail-crc,__rcu_read_lock=crc(d272d446!=8d522714);find_task_by_vpid=crc(2c7840a3!=29161415);alt_cb_patch_nops=crc(b8c8345a!=a65c6def);__rcu_read_unlock=crc(d272d446!=2469810f);_raw_spin_lock_irqsave=crc(aa615763!=34db050b);_raw_spin_unlock_irqrestore=crc(582af1c8!=d35cce70);__put_task_struct=crc(e7ef3ab0!=e5010018);refcount_warn_saturate=crc(2373037a!=0296695f)
oplus_bsp_fw_update,oplus_bsp_fw_update,/home/jmulesa/android/lineage/device/oneplus/infiniti-kernel/oplus_bsp_fw_update.ko,misc,1,0,11,0,0,0,0,11,mismatch(e976b219!=21d0f8b0),load-fail-module-layout,load-fail-crc,snprintf=crc(f4386284!=656e4a6e);kobject_uevent_env=crc(37679765!=c54855de);_printk=crc(16b5b21d!=92997ed8);request_firmware=crc(69d48229!=3c57945c);__stack_chk_fail=crc(d272d446!=f0fdf6cb);class_register=crc(34c2451d!=eab1dce0);device_create=crc(ecc3b985!=9b1faacb);sysfs_create_group=crc(3ee3b24e!=62b33777)
oplus_bsp_game_opt,oplus_bsp_game_opt,/home/jmulesa/android/lineage/device/oneplus/infiniti-kernel/oplus_bsp_game_opt.ko,misc,0,0,135,0,0,0,0,135,mismatch(e976b219!=21d0f8b0),load-fail-module-layout,load-fail-crc,mutex_lock=crc(995658e3!=d5977bfb);mutex_unlock=crc(995658e3!=ed55cabd);ktime_get=crc(ff9a6e5c!=b43f9365);memset=crc(110f4d3a!=dcb764ad);__cpu_present_mask=crc(4e994f70!=b3055449);__per_cpu_offset=crc(0de4cab5!=280f9f14);cpufreq_get_policy=crc(9aef30fe!=411fbde8);mem_alloc_profiling_key=crc(8ee1928d!=0f05f001)
oplus_bsp_geas_cpu,oplus_bsp_geas_cpu,/home/jmulesa/android/lineage/device/oneplus/infiniti-kernel/oplus_bsp_geas_cpu.ko,misc,0,0,59,0,0,0,3,56,mismatch(e976b219!=21d0f8b0),load-fail-module-layout,load-fail-crc,trace_event_buffer_reserve=crc(40964d00!=29eba14a);trace_event_buffer_commit=crc(ffe3783c!=2fc1082e);__trace_trigger_soft_disabled=crc(cb5e01d7!=0fd10466);__stack_chk_fail=crc(d272d446!=f0fdf6cb);perf_trace_buf_alloc=crc(231ad1b8!=2d2c902f);perf_trace_run_bpf_submit=crc(2a290ade!=c61f330d);bpf_trace_run7=crc(5b95f27f!=3d10f515);bpf_trace_run8=crc(60f31a60!=369f9403)
oplus_bsp_geas_system,oplus_bsp_geas_system,/home/jmulesa/android/lineage/device/oneplus/infiniti-kernel/oplus_bsp_geas_system.ko,misc,0,0,45,0,0,0,17,28,mismatch(e976b219!=21d0f8b0),load-fail-module-layout,load-fail-crc,proc_dointvec_minmax=crc(854828da!=3eca0c01);mem_alloc_profiling_key=crc(8ee1928d!=0f05f001);kmalloc_caches=crc(d6ce5659!=efe8a82e);__kmalloc_cache_noprof=crc(6cc46e45!=e17134b6);_printk=crc(16b5b21d!=92997ed8);kfree=crc(31359e90!=037a0cba);sscanf=crc(f5197fd4!=bcab6ee6);__stack_chk_fail=crc(d272d446!=f0fdf6cb)
oplus_bsp_haptic,oplus_bsp_haptic,/home/jmulesa/android/lineage/device/oneplus/infiniti-kernel/oplus_bsp_haptic.ko,misc,1,0,115,0,0,0,5,110,mismatch(e976b219!=21d0f8b0),load-fail-module-layout,load-fail-crc,sysfs_create_group=crc(3ee3b24e!=62b33777);_printk=crc(16b5b21d!=92997ed8);oplus_haptic_track_uvlo=missing;__stack_chk_fail=crc(d272d446!=f0fdf6cb);memset=crc(110f4d3a!=dcb764ad);mutex_lock=crc(995658e3!=d5977bfb);mutex_unlock=crc(995658e3!=ed55cabd);usleep_range_state=crc(fdbae8c6!=c3055d20)
oplus_bsp_haptic_feedback,oplus_bsp_haptic_feedback,/home/jmulesa/android/lineage/device/oneplus/infiniti-kernel/oplus_bsp_haptic_feedback.ko,misc,1,0,43,0,0,0,1,42,mismatch(e976b219!=21d0f8b0),load-fail-module-layout,load-fail-crc,ktime_get_real_ts64=crc(90ee81b3!=9ec6ca96);system_wq=crc(571c73d5!=2d3385d3);queue_delayed_work_on=crc(bb4f284a!=42ad47ad);__stack_chk_fail=crc(d272d446!=f0fdf6cb);strncpy=crc(11ce17c6!=9166fada);_printk=crc(16b5b21d!=92997ed8);__platform_driver_register=crc(26d0cf2d!=12db679a);platform_driver_unregister=crc(8af50346!=6fc35f2b)
oplus_bsp_kshrink_slabd,oplus_bsp_kshrink_slabd,/home/jmulesa/android/lineage/device/oneplus/infiniti-kernel/oplus_bsp_kshrink_slabd.ko,misc,0,0,25,0,0,0,0,25,mismatch(e976b219!=21d0f8b0),load-fail-module-layout,load-fail-crc,mutex_trylock=crc(565f590b!=203392c6);mutex_unlock=crc(995658e3!=ed55cabd);__rcu_read_lock=crc(d272d446!=8d522714);__rcu_read_unlock=crc(d272d446!=2469810f);__wake_up=crc(f7c60e8b!=e2964344);alt_cb_patch_nops=crc(b8c8345a!=a65c6def);preempt_schedule_notrace=crc(d272d446!=f70e4a4d);vm_node_stat=crc(614e3e1f!=7d18cc38)
oplus_bsp_kswapd_opt,oplus_bsp_kswapd_opt,/home/jmulesa/android/lineage/device/oneplus/infiniti-kernel/oplus_bsp_kswapd_opt.ko,misc,0,0,33,0,0,0,0,33,mismatch(e976b219!=21d0f8b0),load-fail-module-layout,load-fail-crc,__tracepoint_android_vh_adjust_alloc_flags=crc(7c5aa8a7!=2fbfbc9d);tracepoint_probe_register=crc(15cb871d!=805e2dd2);_printk=crc(16b5b21d!=92997ed8);__tracepoint_android_vh_adjust_kvmalloc_flags=crc(7c5aa8a7!=2de6259a);proc_mkdir=crc(17dad4e0!=7518b5f0);proc_create=crc(bcb84f5d!=b4028d67);__tracepoint_android_vh_alloc_pages_slowpath_end=crc(7c5aa8a7!=beaf4af5);__tracepoint_mm_vmscan_kswapd_wake=crc(7c5aa8a7!=f9ee0c42)
